t1_name,t1_youth,t1_sptnum_formula,t1_ra_today_formula,t1_dec_today_formula,data_release,dateobs,dec,instrument,ra,specid,specprimary,spectype,telescope,dist_arcsec
SDSS J151240.67+340350.1,N,13,228.1709,34.0638,BOSS-DR16,"[""2011-05-10 08:28:40"",""2011-05-10 08:28:40""]",34.063903,BOSS,228.17009,5314456013231116288,1,STAR,sloan25m,2.4439478613936902
SDSS J151506.11+443648.3,N,17.5,228.7761,44.6134,BOSS-DR16,"[""2018-03-20 11:34:46"",""2018-03-20 11:34:46""]",44.613405,BOSS,228.77547,-8854967609165852672,1,STAR,sloan25m,1.614602855442949
SDSS J151527.14+341232.7,N,11,228.8634,34.2091,SDSS-DR16,"[""2004-04-20 00:00:00"",""2004-04-20 00:00:00""]",34.209099,SDSS,228.86311,1560621842853554176,1,STAR,sloan25m,0.8633864182795473
SDSS J151542.29+325543.2,N,10,228.9259,32.9284,SDSS-DR16,"[""2004-04-20 00:00:00"",""2004-04-20 00:00:00""]",32.928671,SDSS,228.9262,1560550374597748736,1,STAR,sloan25m,1.331740400064736
SDSS J151603.96+573907.6,N,10,229.0167,57.6525,BOSS-DR16,"[""2018-03-23 09:37:11"",""2018-03-23 09:37:11""]",57.65229,BOSS,229.01671,-8964250268521443328,1,STAR,sloan25m,0.756245345865373
ULAS J151637.89+011050.1,N,26.5,229.1575,1.1803,DESI-DR1,"[""2021-05-31 06:22:38.261"",""2021-05-31 06:39:25.289""]",1.1808,DESI,229.1582,2253219518480384,1,GALAXY,kp4m,3.0964018395870587
CFBDS J151803.64+071645.9,N,22.5,229.5161,7.2813,DESI-DR1,"[""2022-05-31 06:39:07.073"",""2022-05-31 06:39:07.073""]",7.2814,DESI,229.5158,2253364125499392,1,STAR,kp4m,1.130160860714452
ULAS J151821.34+085517.5,N,15,229.5888,8.9211,DESI-DR1,"[""2022-06-02 06:30:24.913"",""2022-06-02 06:30:24.913""]",8.920578717966185,DESI,229.5877729956269,39628005273764595,1,GALAXY,kp4m,4.106383616588063
2MASS J15210103+5053230,N,7.5,230.2549,50.8887,BOSS-DR16,"[""2013-04-16 09:55:09"",""2013-04-16 09:55:09""]",50.889183,BOSS,230.25473,7567259143138201600,1,STAR,sloan25m,1.781143402504755
SDSS J152314.46+105258.9,N,10,230.8106,10.8827,BOSS-DR16,"[""2012-03-23 10:54:29"",""2012-03-23 10:54:29""]",10.882857,BOSS,230.81016,6184714524148649984,1,STAR,sloan25m,1.655013705256292
SDSS J152324.45-021133.8,N,10,230.8516,-2.193,SDSS-DR16,"[""2002-05-11 00:00:00"",""2002-05-11 00:00:00""]",-2.1927644,SDSS,230.85184,1040368113100548096,1,STAR,sloan25m,1.210280312385499
SDSS J152529.74+200407.9,N,11,231.3741,20.0687,SDSS-DR16,"[""2007-08-16 00:00:00"",""2007-08-16 00:00:00""]",20.068867,SDSS,231.37394,2430836113426900992,0,STAR,sloan25m,0.808795792767291
2MASSI J1526140+204341,N,17,231.557,20.7258,BOSS-DR16,"[""2011-04-29 06:54:27"",""2011-04-29 06:54:27""]",20.72695,BOSS,231.55762,4447575207184715776,0,STAR,sloan25m,4.636534837086612
SDSS J152621.06+280806.9,N,11,231.588,28.135,BOSS-DR16,"[""2011-04-28 06:17:11"",""2011-04-28 06:17:11""]",28.135077,BOSS,231.5877800000001,4457611549306277888,1,STAR,sloan25m,0.7514153670933188
SDSS J153012.87+514717.1,N,10,232.5535,51.7882,SDSS-DR16,"[""2002-04-14 00:00:00"",""2002-04-14 00:00:00""]",51.788079,SDSS,232.55361,895134721179150336,0,STAR,sloan25m,0.49974982763333126
ULAS J153108.89+060111.1,N,10,232.7871,6.0195,SDSS-DR16,"[""2007-04-17 00:00:00"",""2007-04-17 00:00:00""]",6.0197899,SDSS,232.78698,2049220364424210432,1,STAR,sloan25m,1.1286080069373727
2MASS J15311344+1641282,N,11,232.8055,16.6914,BOSS-DR16,"[""2011-03-12 11:19:44"",""2011-03-12 11:19:44""]",16.691306,BOSS,232.80578,4434963258269782016,1,STAR,sloan25m,1.023113084037502
SDSS J153119.91+262835.2,N,10,232.8334,26.4761,SDSS-DR16,"[""2007-03-20 00:00:00"",""2007-03-20 00:00:00""]",26.47646,SDSS,232.83298,2080719997700696064,1,STAR,sloan25m,1.8738627301499855
ULAS J153128.47+073755.0,N,14,232.8688,7.6319,DESI-DR1,"[""2022-05-28 07:22:46.173"",""2022-05-28 07:22:46.173""]",7.63194475477573,DESI,232.8687210905099,39627975422905741,1,GALAXY,kp4m,0.3243971584348302
SDSS J153223.34+261118.8,N,11,233.0966,26.1884,SDSS-DR16,"[""2007-03-20 00:00:00"",""2007-03-20 00:00:00""]",26.188568,SDSS,233.09729,2080698007468140544,1,STAR,sloan25m,2.3096037307369848
SDSS J153453.33+121949.2,N,14,233.723,12.3302,DESI-DR1,"[""2021-06-28 05:21:00.388"",""2021-06-28 05:21:00.388""]",12.33022611329405,DESI,233.722704228804,39628082574787246,1,GALAXY,kp4m,1.044454491218157
