t1_name,t1_youth,t1_sptnum_formula,t1_ra_today_formula,t1_dec_today_formula,data_release,dateobs,dec,instrument,ra,specid,specprimary,spectype,telescope,dist_arcsec
SDSS J165309.93+245039.8,N,10,253.2913,24.8446,SDSS-DR16,"[""2005-04-12 00:00:00"",""2005-04-12 00:00:00""]",24.844393,SDSS,253.29136,1905089495976404992,1,STAR,sloan25m,0.7705470586443535
SDSS J165329.69+623136.5,N,13,253.3742,62.5268,SDSS-DR16,"[""2000-05-28 00:00:00"",""2000-05-28 00:00:00""]",62.526806,SDSS,253.37371,392995995719329792,1,STAR,sloan25m,0.8140791104703616
SDSS J165450.79+374714.6,N,12,253.7108,37.7885,BOSS-DR16,"[""2012-05-27 08:35:55"",""2012-05-27 08:35:55""]",37.788262,BOSS,253.7111,5840076453803479040,1,STAR,sloan25m,1.2093681296525423
2MASS J16573454+1054233,N,12,254.3934,10.906,DESI-DR1,"[""2022-05-12 09:41:02.494"",""2022-05-12 09:41:02.494""]",10.90612527004186,DESI,254.3935533744051,39628053306937376,1,GALAXY,kp4m,0.7052162718544047
WISE J165842.56+510335.0,N,16,254.676,51.0589,DESI-DR1,"[""2021-06-16 08:24:38.106"",""2021-06-16 08:24:38.106""]",51.05928335905908,DESI,254.6766335759856,39633264280866669,1,GALAXY,kp4m,1.9899201998533835
SDSS J165850.26+182000.6,N,10,254.7086,18.3339,BOSS-DR16,"[""2011-04-29 10:49:44"",""2011-04-29 10:49:44""]",18.33376,BOSS,254.70903,4701763054106595328,1,STAR,sloan25m,1.553454570746295
SDSS J170219.44+385841.2,N,11,255.5807,38.9783,SDSS-DR16,"[""2007-05-11 00:00:00"",""2007-05-11 00:00:00""]",38.978138,SDSS,255.58102,2468012798974650368,1,STAR,sloan25m,1.0687038376267208
SDSS J170302.52+355824.3,N,10,255.7608,35.9736,SDSS-DR16,"[""2002-05-10 00:00:00"",""2002-05-10 00:00:00""]",35.973412,SDSS,255.76055,923239338349717504,0,STAR,sloan25m,0.9942667083890311
SDSS J170310.64+252521.4,N,10,255.7945,25.4225,SDSS-DR16,"[""2005-03-17 00:00:00"",""2005-03-17 00:00:00""]",25.422622,SDSS,255.79433,1906301432215136256,1,STAR,sloan25m,0.7059856263605107
SDSS J170316.71+190636.0,N,10,255.8193,19.1103,SDSS-DR16,"[""2003-10-01 00:00:00"",""2003-10-01 00:00:00""]",19.11001,SDSS,255.81962,1604440676349536256,1,STAR,sloan25m,1.5082438205806954
2MASSI J1707333+430130,young,10.5,256.8872,43.0249,BOSS-DR16,"[""2012-06-13 06:42:59"",""2012-06-13 06:42:59""]",43.024922,BOSS,256.8878999999999,6825297421570166784,1,STAR,sloan25m,1.843965568062926
2MASS J17081563+2557474,young,15,257.0647,25.963,DESI-DR1,"[""2022-06-06 09:12:07.549"",""2022-06-07 09:04:29.225""]",25.96304984455998,DESI,257.0648157814927,39628396430363491,1,GALAXY,kp4m,0.4154928865054716
SDSS J171049.35+332325.2,N,10,257.7045,33.3906,DESI-DR1,"[""2021-05-22 09:15:51.207"",""2021-05-22 09:15:51.207""]",33.39052805638408,DESI,257.7047629310107,39632951905882865,1,STAR,kp4m,0.83166890509612
2MASS J17111353+2326333,lowg,10,257.8059,23.4423,DESI-DR1,"[""2022-05-14 09:51:25.172"",""2022-05-14 09:51:25.172""]",23.4423630461693,DESI,257.8060332274286,39628341522731720,1,GALAXY,kp4m,0.4951175151232195
SDSS J171319.23+292816.1,N,10,258.33,29.4711,SDSS-DR16,"[""2002-05-15 00:00:00"",""2002-05-15 00:00:00""]",29.47117,SDSS,258.33009,1100136740569507840,1,STAR,sloan25m,0.3782467933939378
2MASS J17161258+4125143,N,14,259.0527,41.4206,BOSS-DR16,"[""2017-10-15 01:32:23"",""2017-10-15 01:32:23""]",41.420664,BOSS,259.0525299999999,-8825876733152178176,1,STAR,sloan25m,0.5135111986836635
2MASS J17164260+2945536,N,13,259.1777,29.7651,BOSS-DR16,"[""2011-06-04 10:27:47"",""2011-06-04 10:27:47""]",29.764915,BOSS,259.17755,5630805849977147392,1,STAR,sloan25m,0.8144257320164351
SDSS J172006.69+615537.7,N,13,260.0279,61.9265,SDSS-DR16,"[""2000-09-02 00:00:00"",""2000-09-02 00:00:00""]",61.92719,SDSS,260.02787,396355005252134912,0,STAR,sloan25m,2.4845199021513316
WISE J172134.46+111739.4,N,26,260.3934,11.2947,DESI-DR1,"[""2021-05-15 10:56:44.749"",""2021-05-18 10:13:19.329""]",11.29457689534428,DESI,260.3933307729584,39628059338348838,1,GALAXY,kp4m,0.5060953291705359
SDSS J172244.32+632946.8,N,10,260.6852,63.496,SDSS-DR16,"[""2000-05-30 00:00:00"",""2000-05-30 00:00:00""]",63.496331,SDSS,260.68468,396468803111774208,1,STAR,sloan25m,1.455264375995823
SDSS J172533.04+553332.5,N,10,261.3881,55.5589,SDSS-DR16,"[""2001-03-22 00:00:00"",""2001-03-22 00:00:00""]",55.55904,SDSS,261.38768,413236360518854656,1,STAR,sloan25m,0.9925985269655515
SDSS J172543.84+532534.9,N,11,261.4324,53.4267,SDSS-DR16,"[""2000-10-03 00:00:00"",""2000-10-03 00:00:00""]",53.426317,SDSS,261.43266,404246200741554176,1,STAR,sloan25m,1.4873263456680685
2MASSI J1726000+153819,lowg,13.5,261.4998,15.638,DESI-DR1,"[""2022-05-13 11:03:50.42"",""2022-05-24 09:47:13.816""]",15.63831834525072,DESI,261.5000554874193,39628165143856841,1,GALAXY,kp4m,1.4484107395794685
SDSS J172822.19+584509.9,N,11,262.0924,58.7531,SDSS-DR16,"[""2001-04-18 00:00:00"",""2001-04-18 00:00:00""]",58.752744,SDSS,262.09246,412220412110333952,1,STAR,sloan25m,1.2864885455786426
2MASS J17312974+2721233,N,10,262.8733,27.355,DESI-DR1,"[""2022-06-12 08:28:49.816"",""2022-06-12 08:28:49.816""]",27.35536531029351,DESI,262.8734896653345,39628423554925544,1,STAR,kp4m,1.4482073040579286
WISE J173332.50+314458.3,N,12,263.3842,31.7498,BOSS-DR16,"[""2011-05-29 09:16:55"",""2011-05-29 09:16:55""]",31.749519,BOSS,263.38526,5632025483099262976,1,STAR,sloan25m,3.3989813411044363
WISE J174113.12+132711.9,N,25,265.3046,13.4527,DESI-DR1,"[""2022-05-27 10:30:06.75"",""2022-05-27 10:30:06.75""]",13.4539,DESI,265.3049,2253513308504064,1,GALAXY,kp4m,4.445859413114008
WISEA J174336.62+154901.3,N,11,265.9036,15.8167,DESI-DR1,"[""2022-05-05 11:24:35.516"",""2022-05-05 11:24:35.516""]",15.81686880787953,DESI,265.903086241927,39628165215160918,1,GALAXY,kp4m,1.880409200951845
2MASSW J1750129+442404,N,7.5,267.5536,44.4021,DESI-DR1,"[""2022-06-13 08:33:16.535"",""2022-06-13 08:33:16.535""]",44.40182930806799,DESI,267.5536361516794,39633158643124669,1,STAR,kp4m,0.9789169520803916
2MASS J17561080+2815238,N,-11,269.0408,28.2541,DESI-DR1,"[""2022-05-05 11:39:28.902"",""2022-05-05 11:39:28.902""]",28.25473214219327,DESI,269.041875371545,39628445050733581,1,GALAXY,kp4m,4.099699821327286
2MASSI J1807159+501531,N,11.5,271.8166,50.258,DESI-DR1,"[""2021-06-21 08:30:13.763"",""2021-06-21 08:30:13.763""]",50.2588,DESI,271.8164,2377400943902720,1,GALAXY,kp4m,2.9165544440353064
LP 44-334,N,6.5,280.009,72.6828,DESI-DR1,"[""2021-06-29 09:22:40.361"",""2021-06-29 09:22:40.361""]",72.6817,DESI,280.0098,2377659568881664,1,STAR,kp4m,4.0517340265243424
2MASSI J2057540-025230,young,11.5,314.4754,-2.8757,DESI-DR1,"[""2022-06-12 10:23:36.229"",""2022-06-12 10:23:36.229""]",-2.875509509562791,DESI,314.4753772475111,39627717523543659,1,GALAXY,kp4m,0.6906276961814871
SDSS J205755.92-005006.7,N,10,314.4825,-0.8357,DESI-DR1,"[""2022-06-01 11:10:30.612"",""2022-06-01 11:10:30.612""]",-0.8354116154936435,DESI,314.4827950059171,39627771881724834,1,STAR,kp4m,1.4850844672265682
2MASSI J2107316-030733,N,10,316.8829,-3.1262,DESI-DR1,"[""2021-09-24 03:23:45.36"",""2022-06-04 11:10:54.755""]",-3.126,DESI,316.882,2376257576632320,1,STAR,kp4m,3.3143296401032765
SDSS J211846.77-001044.6,N,11,319.6952,-0.1789,BOSS-DR16,"[""2017-10-13 01:37:53"",""2017-10-13 01:37:53""]",-0.17904913,BOSS,319.69492,-8155835446730665984,0,STAR,sloan25m,1.142051371462057
SDSS J213151.87-001432.4,N,10,322.9663,-0.243,BOSS-DR16,"[""2016-10-31 01:23:08"",""2016-10-31 01:23:08""]",-0.24252538,BOSS,322.96624,-8110784612854902784,1,STAR,sloan25m,1.722230667997198
2MASSW J2140293+162518,N,8.5,325.1217,16.4212,DESI-DR1,"[""2021-09-22 05:15:12.392"",""2021-09-22 05:15:12.392""]",16.4217,DESI,325.1222,2376729641353216,1,STAR,kp4m,2.4942053727266202
SDSS J214046.55+011259.7,N,13,325.1935,1.2154,BOSS-DR16,"[""2017-10-17 01:36:05"",""2017-10-17 01:36:05""]",1.216057,BOSS,325.19372,-8130106324817784832,0,STAR,sloan25m,2.494223861966027
2MASSW J2147436+143131,N,8,326.9316,14.5252,DESI-DR1,"[""2021-10-31 01:45:52.725"",""2021-10-31 01:45:52.725""]",14.5254,DESI,326.9319,2376683071995904,1,STAR,kp4m,1.2694204643400033
2MASS J21495655+0603349,N,9,327.4868,6.0599,DESI-DR1,"[""2021-10-21 02:28:12.736"",""2021-10-21 02:28:12.736""]",6.0597,DESI,327.4857,2376481044955136,1,STAR,kp4m,4.003153770724151
SDSS J215125.92-000200.7,N,10,327.8572,-0.0346,BOSS-DR16,"[""2010-10-10 02:50:26"",""2010-10-10 02:50:26""]",-0.033768742,BOSS,327.8580400000001,4725592766209609728,1,STAR,sloan25m,4.254386132639244
SIMP J21543454-1055308,lowg,14,328.645,-10.9253,DESI-DR1,"[""2021-11-01 02:19:07.612"",""2021-11-01 02:19:07.612""]",-10.92524014172219,DESI,328.644913546843,39627525864821797,1,GALAXY,kp4m,0.37392689759162684
2MASS J21555848+2345307,N,12,328.9943,23.7583,BOSS-DR16,"[""2014-10-18 01:28:57"",""2014-10-18 01:28:57""]",23.758369,BOSS,328.99398,8530045134838190080,1,STAR,sloan25m,1.0832365603126408
SDSS J215817.69+000300.3,N,11.5,329.5741,0.0497,BOSS-DR16,"[""2017-10-14 02:51:34"",""2017-10-14 02:51:34""]",0.050058684,BOSS,329.5737300000001,-8150236183732662272,1,STAR,sloan25m,1.85514992377592
2MASS J22021125-1109461,N,6.5,330.5477,-11.164,DESI-DR1,"[""2021-11-01 01:45:13.314"",""2021-11-01 01:45:13.314""]",-11.1629,DESI,330.5469,2376066010185728,1,STAR,kp4m,4.864677840160078
SDSS J220517.48-003710.3,N,10,331.3231,-0.6193,BOSS-DR16,"[""2010-10-11 04:45:56"",""2010-10-11 04:45:56""]",-0.61955393,BOSS,331.32284,4727738463184769024,1,STAR,sloan25m,1.3083043121550513
PSO J331.9397-07.0570,lowg?,17,331.9398,-7.0572,DESI-DR1,"[""2021-10-30 02:12:09.293"",""2021-11-01 02:10:44.147""]",-7.057179062757143,DESI,331.9398912157568,39627621469784853,1,GALAXY,kp4m,0.33449193840527863
2MASSW J2208136+292121,lowg,13,332.0574,29.3558,BOSS-DR16,"[""2016-10-03 01:51:47"",""2016-10-03 01:51:47""]",29.355892,BOSS,332.0571600000001,8678504505367875584,1,STAR,sloan25m,0.8226699360229456
CFBDS J221336.00-000333.0,N,21.5,333.4001,-0.0592,DESI-DR1,"[""2021-10-06 04:13:31.613"",""2021-10-06 04:57:50.558""]",-0.0592,DESI,333.4001,2253191068516352,1,GALAXY,kp4m,0
PSO J334.2624+28.9438,lowg,13.5,334.2627,28.9437,BOSS-DR16,"[""2016-09-24 02:57:30"",""2016-09-24 02:57:30""]",28.943889,BOSS,334.2624000000001,8609833406992502784,1,STAR,sloan25m,1.1645440391969983
SDSS J221743.53+000253.8,N,11,334.4316,0.0482,SDSS-DR16,"[""2000-09-04 00:00:00"",""2000-09-04 00:00:00""]",0.048313006,SDSS,334.4313,421239702201329664,1,STAR,sloan25m,1.154081013917919
HQT-9,N,26,334.7629,0.4051,DESI-DR1,"[""2021-10-10 04:22:46.795"",""2021-10-10 04:22:46.795""]",0.4051,DESI,334.7629,2253203173277696,1,GALAXY,kp4m,0
SDSS J222000.97+121436.5,N,10,335.0037,12.243,SDSS-DR16,"[""2002-09-01 00:00:00"",""2002-09-01 00:00:00""]",12.2435,SDSS,335.00404,829867163547363328,1,STAR,sloan25m,2.1612038873544557
PHL 5038B,N,18,335.1276,-0.6864,DESI-DR1,"[""2021-09-24 05:00:47.114"",""2021-09-24 05:00:47.114""]",-0.6861458487756861,DESI,335.1276961783092,39627772229849466,1,STAR,kp4m,0.978258418277325
TVLM 890-60235,N,7,335.7727,0.5028,BOSS-DR16,"[""2017-11-07 02:23:18"",""2017-11-07 02:23:18""]",0.50285743,BOSS,335.7728,-8124459782450688000,1,STAR,sloan25m,0.41513221297444736
PSO J338.8587+31.4729,N,12,338.8588,31.4728,BOSS-DR16,"[""2018-06-14 09:47:41"",""2018-06-14 09:47:41""]",31.472849,BOSS,338.85869,8680688695618326528,1,STAR,sloan25m,0.3810350408788606
SDSS J223550.14+122737.3,N,10,338.9588,12.46,DESI-DR1,"[""2021-11-22 02:07:18.02"",""2021-11-22 02:07:18.02""]",12.46011354692092,DESI,338.9588281464278,39628090204228835,1,STAR,kp4m,0.4205725359861789
ULAS J223636.89+011132.3,N,13.5,339.1533,1.1921,DESI-DR1,"[""2021-10-11 04:21:20.046"",""2021-10-11 04:21:20.046""]",1.1924,DESI,339.1539,2253221363974144,1,GALAXY,kp4m,2.41453516853335
CFBDS J223856.30+034947.0,N,22,339.7338,3.8284,DESI-DR1,"[""2021-11-06 02:57:08.968"",""2021-11-06 02:57:08.968""]",3.8294,DESI,339.7345,2253281749368832,1,GALAXY,kp4m,4.39113679434935
ULAS J223955.76+003252.6,N,25.5,339.9831,0.5473,DESI-DR1,"[""2021-09-27 05:18:20.139"",""2021-09-27 05:39:30.779""]",0.548,DESI,339.9823,2253203257163776,1,GALAXY,kp4m,3.8267534853368654
2MASS J22400144+0532162,N,5.7,340.0067,5.5371,DESI-DR1,"[""2021-10-21 03:53:21.392"",""2021-10-21 03:53:21.392""]",5.5378,DESI,340.006,2376469225406464,1,STAR,kp4m,3.5555123348921045
2MASSW J2244316+204343,lowg,16.5,341.1336,20.7272,DESI-DR1,"[""2021-11-11 02:29:57.624"",""2021-11-11 02:29:57.624""]",20.72732717354868,DESI,341.1334034934052,39628281221220156,1,GALAXY,kp4m,0.8045906151986277
SDSSp J224953.45+004404.2,lowg,14,342.4732,0.7347,DESI-DR1,"[""2021-07-09 10:52:17.811"",""2021-07-09 10:52:17.811""]",0.73460105967963,DESI,342.4731171176534,39627808590273599,1,GALAXY,kp4m,0.4646307481844519
ULAS J225016.39+080822.4,N,13,342.569,8.1387,DESI-DR1,"[""2021-11-09 03:13:12.447"",""2021-11-09 03:13:12.447""]",8.139058221325731,DESI,342.5687215812937,39627989217973562,1,GALAXY,kp4m,1.6271276326974005
NLTT 55219B,N,15.5,343.6202,22.0495,BOSS-DR16,"[""2014-11-26 01:08:13"",""2014-11-26 01:08:13""]",22.048989,BOSS,343.6190799999999,8571577537981075456,1,STAR,sloan25m,4.16534363154427
SDSSp J225529.09-003433.4,N,10,343.871,-0.577,BOSS-DR16,"[""2010-10-02 03:31:02"",""2010-10-02 03:31:02""]",-0.57657119,BOSS,343.87129,4735570834097459200,1,STAR,sloan25m,1.863567717483103
SDSS J225913.88-005158.2,N,12,344.8081,-0.866,BOSS-DR16,"[""2010-10-06 03:43:55"",""2010-10-06 03:43:55""]",-0.8661758,BOSS,344.80791,4736740164780707840,1,STAR,sloan25m,0.9318187589095662
2MASS J23231347-0244360,lowg,8.5,350.8068,-2.7437,DESI-DR1,"[""2021-09-24 06:55:42.733"",""2021-09-24 06:55:42.733""]",-2.7433,DESI,350.8062,2376270226653184,1,STAR,kp4m,2.593937339797968
PSO J351.3434-11.3514,lowg,6.5,351.3438,-11.3518,DESI-DR1,"[""2021-10-22 05:07:50.366"",""2021-10-22 05:07:50.366""]",-11.351,DESI,351.3429,2376066349924352,1,STAR,kp4m,4.287810505521354
CFBDS J232620.21-025643.7,N,23,351.5838,-2.9452,DESI-DR1,"[""2021-10-07 05:48:23.471"",""2021-10-07 06:08:13.242""]",-2.945422309243182,DESI,351.5840878792479,39627718148490574,1,GALAXY,kp4m,1.3083266634682595
ULAS J232802.03+134544.8,N,27,352.0089,13.7624,DESI-DR1,"[""2021-12-01 02:30:07.387"",""2021-12-01 02:30:07.387""]",13.7624,DESI,352.0089,2253520594010112,1,GALAXY,kp4m,0
SDSS J233129.35+155222.5,N,10,352.8716,15.8723,BOSS-DR16,"[""2012-12-09 01:08:27"",""2012-12-09 01:08:27""]",15.872641,BOSS,352.87159,6909755310749274112,1,STAR,sloan25m,1.228088277912723
SDSS J233358.42+005012.1,N,10,353.4942,0.8369,BOSS-DR16,"[""2010-09-08 07:00:39"",""2010-09-08 07:00:39""]",0.83670628,BOSS,353.49343,4742508752066072576,1,STAR,sloan25m,2.8580938900984023
ULAS J233359.39+004935.2,N,-6,353.4984,0.8264,BOSS-DR16,"[""2010-11-07 02:44:20"",""2010-11-07 02:44:20""]",0.826325,BOSS,353.4979000000001,4821191729301704704,1,QSO,sloan25m,1.8199522178476386
PSO J353.6355+13.2209,N,18,353.6357,13.2209,DESI-DR1,"[""2021-12-01 02:30:07.387"",""2021-12-01 02:30:07.387""]",13.22086977071092,DESI,353.6356617136242,39628108122293243,1,GALAXY,kp4m,0.17276187556992062
SDSS J233526.42+081721.3,N,10,353.8603,8.2892,DESI-DR1,"[""2021-12-08 02:21:27.131"",""2021-12-08 02:21:27.131""]",8.289216681207671,DESI,353.8602235854775,39627989406714856,1,GALAXY,kp4m,0.2787635763335051
SDSS J233615.99+004253.4,N,10,354.0667,0.7148,BOSS-DR16,"[""2010-09-10 06:27:43"",""2010-09-10 06:27:43""]",0.71485828,BOSS,354.06663,4743570330576244736,1,STAR,sloan25m,0.3278925324569551
2MASS J23371491-0838084,N,7,354.3136,-8.6355,DESI-DR1,"[""2021-10-30 04:39:19.831"",""2021-10-30 04:39:19.831""]",-8.63605640043123,DESI,354.3133289331494,39627579908426105,1,GALAXY,kp4m,2.2232792984780967
SDSS J234034.42-001351.6,N,11,355.143,-0.2316,BOSS-DR16,"[""2016-12-05 01:37:42"",""2016-12-05 01:37:42""]",-0.23103843,BOSS,355.14339,-8136636329425088512,0,STAR,sloan25m,2.4613534243441575
SDSS J234406.88+011515.6,N,13,356.0294,1.2543,BOSS-DR16,"[""2017-10-18 03:58:52"",""2017-10-18 03:58:52""]",1.2543455,BOSS,356.02891,-8114340977326141440,1,STAR,sloan25m,1.7711677954362395
2MASS J23453903+0055137,lowg,9,356.4132,0.9201,BOSS-DR16,"[""2010-09-11 06:52:34"",""2010-09-11 06:52:34""]",0.92045921,BOSS,356.4127,4744725917330591744,1,STAR,sloan25m,2.2161716182705797
SDSS J234759.77-001546.9,N,10,356.9992,-0.2632,SDSS-DR16,"[""2000-09-01 00:00:00"",""2000-09-01 00:00:00""]",-0.26300705,SDSS,356.99901,434673260341258240,1,STAR,sloan25m,0.9748554143149859
SDSS J234841.38-004022.1,N,11.5,357.1729,-0.6733,BOSS-DR16,"[""2014-10-01 06:19:41"",""2014-10-01 06:19:41""]",-0.67287754,BOSS,357.17247,8839590643137531904,1,STAR,sloan25m,2.170017576673114
